SKU;descr
307686,"<p><span style='text-decoration: underline;'><strong>General Information:</strong></span></p><p>Tired of your everyday soft drinks? Try this! </p><p>A classic Root Beer from a classic brand! </p><p>&nbsp;</p><p>Product of Singapore</p><p>&nbsp;</p><p>&nbsp;</p><p><span style='text-decoration: underline;'><strong>Ingredients: </strong></span></p><p>Carbonated Water, Sugar, Caramel Colour, Flavourings, Sodium Benzoate, Citric Acid. </p><span style='text-decoration: underline;'></span>"
324442,"<p>This hot, dry curry of tenderley simmered meat offers the typically Indonesian taste of rich coconut cream, balanced with robust tangy spices.</p><p>No MSG, preservatives or artificial colours</p><p>Product of Singapore</p><p><strong>Ingredients</strong></p><p>Red Chillies, soyabean oil, onion, galangal, garlic, salt, shallot, sugar, ginger, lemon grass, tumeric, coriander, cumin, natural herbs and spices. </p>"
324350,"<p>Sambal is an important part of an Indonesian meal. It provides the spicy, exotic flavouring to this fried noodle dish.</p><p>No MSG, preservatives or artificial colours.</p><p>Product of Singapore</p><p><strong>Ingredients</strong></p><p>Tomato paste, shallots, soyabean oil, salt, soy sauce, tamarind, garlic, dried shrimp, sugar, cayenne pepper, shrimp paste, red chillies. </p>"
324350,"<p>Sambal is an important part of an Indonesian meal. It provides the spicy, exotic flavouring to this fried noodle dish.</p><p>No MSG, preservatives or artificial colours.</p><p>Product of Singapore</p><p><strong>Ingredients</strong></p><p>Tomato paste, shallots, soyabean oil, salt, soy sauce, tamarind, garlic, dried shrimp, sugar, cayenne pepper, shrimp paste, red chillies. </p>"
055038,"Prepared Red Beans - Yude Azuki<br />"
328831,"Curry Paste<br />"
319871,"<p><strong>General Information</strong></p><p>A ready made paste perfect for re-creating a typical South-East Asian curry.</p><p>&nbsp;</p><p><strong>Ingredients</strong></p><p>Mixed Spices 32.8% (Coriander Seeds, Fennel, Cumin, Green Cardamom, Clove, Cinnamon), Chilli 19%, Onion 18.5%, Tumeric, Lemon Grass, Ginger, Garlic, Salt, Sugar, Palm Olein and Preservative (Sodium Benzonate E211). </p>"
024356,"Nishiki Japanese Rice&nbsp; -&nbsp; 10kg<br /><br />"
082552,"Much prized ingredient of soups<strong><br /><br />Ingredients:</strong> Abalone (Haliotis Iris), water, Salt Sugar, Flavour Enhancer (621,575), Antioxidant (220)<br /><br /><strong>Net weight:</strong> 425g PH16<br /><br />Product of New Zealand"
082552,"Much prized ingredient of soups<strong><br /><br />Ingredients:</strong> Abalone (Haliotis Iris), water, Salt Sugar, Flavour Enhancer (621,575), Antioxidant (220)<br /><br /><strong>Net weight:</strong> 425g PH16<br /><br />Product of New Zealand"
120576,"Set of heavy duty scourers<br />"
236661,"<!DOCTYPE html ><html>    <head>        <title>009621</title>    </head>    <body>        <span style='font-family: verdana; font-size: 10px;'>ABC Saus Manis Sweet Sauce 620ml<br />        <br />        Imported and Distributed by DKSH Marketing Pte Ltd<br />        Product of Heinz<br />        Product of Indonesia<br />        <br />        <span style='text-decoration: underline;'><strong>Ingredients:</strong></span><br />        <br />        Sugar (76%), water, salt, soybean (2%), wheat.</span><span style='font-family: verdana; font-size: 10px;'><br />        <br />        <span style='text-decoration: underline;'><strong>Allergen Advice:</strong></span><br />        <br />        Contains wheat flour and soya bean.<br />        <br />        <span style='text-decoration: underline;'><strong>Storage:</strong></span><br />        <br />        Store in a cool and dry place.<br />        <br />        <br />        <br />        <span style='text-decoration: underline;'><strong>Nutrition Information:</strong></span><br />        <br />        </span>        <table>            <thead>            </thead>            <tbody>                <tr>                    <td style='border-style: solid; border-width: 3px;'><span style='font-family: verdana; font-size: 10px;'><strong>Typical Values <br />                    </strong></span></td>                    <td align='center' style='border-style: solid; border-width: 3px;'><span style='font-family: verdana; font-size: 10px;'><strong>Amount Per 100ml<br />                    </strong></span></td>                </tr>                <tr>                    <td align='left' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;Energy</span></td>                    <td align='center' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>1792kJ/427kcal<br />                    </span>                    </td>                </tr>                <tr>                    <td align='left' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;Protein</span></td>                    <td align='center' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>2.4g<br />                    </span>                    </td>                </tr>                <tr>                    <td align='left' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;Carbohydrate</span></td>                    <td align='center' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>103.0g<br />                    </span>                    </td>                </tr>                <tr>                    <td align='left' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;of which sugars<br />                    </span>                    </td>                    <td align='center' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>81g<br />                    </span>                    </td>                </tr>                <tr>                    <td align='left' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;Fat</span></td>                    <td align='center' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>0.1g</span></td>                </tr>                <tr>                    <td align='left' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;of which saturates<br />                    </span>                    </td>                    <td align='center' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>0.6<br />                    </span>                    </td>                </tr>                <tr>                    <td align='left' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;Fibre</span></td>                    <td align='center' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>1.9g<br />                    </span>                    </td>                </tr>                <tr>                    <td align='left' colspan='1' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;Sodium</span></td>                    <td align='center' colspan='1' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>1.94g <br />                    </span>                    </td>                </tr>                <tr>                    <td align='left' colspan='1' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;</span></td>                    <td colspan='1' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;<strong>per 25ml serving&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; %RDA*</strong><br />                    </span>                    </td>                </tr>                <tr>                    <td align='left' colspan='1' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;Vitamin A<br />                    </span>                    </td>                    <td colspan='1' style='border-style: solid; border-width: 1px;'><span style='font-family: verdana; font-size: 10px;'>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br />                    </span>                    </td>                </tr>            </tbody>        </table>        <span style='font-family: verdana; font-size: 10px;'>        <br />        *Recommended Daily Allowance (RDA) according to EC Nutrition Labelling Directive 90/496/EEC<br />        <br />        <br />        <br />        </span>    </body></html>"
040188,"<p><strong><span style='text-decoration: underline;'>General Information</span></strong></p><p>Prepared spice sachet</p><p>Dark red, spicy, slightly sweet and sour , with an exotic aroma of spices and tomato in a viscous, fine paste</p><p>Add contents to make a spicy fried noodles</p><p>Product of Malaysia</p><p></p><p></p><p></p><p></p><p><strong><span style='text-decoration: underline;'>Ingredients</span></strong></p><p>Dried Chilli, Shallot, Garlic, Sugar, Cooking oil, Soya sauce, Tomato puree, Salt, Fish sauce, seasoning</p>"
039958,"Batter seasonings<br />"
