sku,brand,name,size,net_weight,weight_unit,net_volume,volume_unit,gross_weight,gross_weight_unit,parent_category,child_category,description,ingredients,allergen_advice,storage_instructions,energy_kj,enery_kcal,protein,carbohydrates,of_which_sugars,fat,of_which_saturates,fibre,sodium,vitamin_A,VATable,country_of_origin,address,EAN
331744,Joy Food,Cashew Nut Crunch,,,,114,g,125,g,"Soup, snacks nuts","snacks, sweet",The healthy and tasty nuts give you a joyful and happy moment.,"Cashhew Nuts (68%), Cane Sugar (25%), Maltose (6%), Salt (1%).",May contain trace of other nuts.,"Keep in a cool dry place, avoid direct sunlight and High temperature.",2231,533,13.3g,50g,23.3g,30g,6.7g,,0g,,3,Taiwan,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4711202222850
331710,Joy Food,Peanut Crunch,,,,130,g,150,g,"Soup, snacks nuts","snacks, sweet",The healthy and tasty nuts give you a joyful and happy moment.,"Peanut (68%), Cane Sugar, Maltose, Salt.",May contain trace of other nuts.,"Keep in a cool dry place, avoid direct sunlight and High temperature.",2378,570,23.3g,36.7g,23.3g,36.7g,6.7g,,0.1g,,3,Taiwan,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4711202222836
331751,Joy Food,Pumpkin Seed Crunch,,,,114,g,130,g,"Soup, snacks nuts","snacks, sweet",The healthy and tasty nuts give you a joyful and happy moment.,"Pumpkin Seed (68%), Cane Sugar (25%), Maltose (6%), Salt (1%).",May contain trace of other nuts.,"Keep in a cool dry place, avoid direct sunlight and High temperature.",2303,550,30g,50g,27g,33.3g,6.7g,,0g,,3,Taiwan,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4711202222867
331728,Joy Food,Black Sesame Crunch,,,,130,g,142,g,"Soup, snacks nuts","snacks, sweet",The healthy and tasty nuts give you a joyful and happy moment.,"Black Sesame (68%), Cane Sugar (25%0, Maltose (6%), Salt (1%).",May contain trace of other nuts.,"Keep in a cool dry place, avoid direct sunlight and High temperature.",2231,533,16.7g,26.7g,20g,40g,6.7g,,0g,,3,Taiwan,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4711202222812
331056,Mic's Mincher,Sesame Brown Rice Wafer,,,,190,g,205,g,"Soup, snacks nuts","snacks, sweet",Brown Rice wafer with Sesame Paste,"Wheat, refined corn oil, sugar, Sesame Paste (8%), Glucose, Milk Powder, Cocoa Powder, Corn Stratch, Flavouring (Sesame), Brown Rice, Anti-Caking Agents (E500 ii), E503ii). ",,"Keep in a cood and dry place, refrigerate after opening.",2353,562,9g,52g,6g,26g,4g,,0g,,3,Taiwan,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4713002001369
272708,Nice Choice,Raisin Sesame Soft Flour Cakes,,,,450,g,474,g,"Soup, snacks nuts","snacks, sweet",Taiwan Dessert,"Wheat Flour (40.2%), Maltose (27.5%), Palm Olein (14.2%), Sugar (11%), Egg (4.6%), Sesame (1.1%), Raisins (0.8%), Milk Powder (0.5%), Salt 0.1%)","contains wheat, egg, milk, sesame","Keep in a cood and dry place, refrigerate after opening.",1947,465,8g,60g,25.3g,21.3g,9.3g,,0g,,3,Taiwan,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4711202221754
381939,Want Want,Mini Fried Senbei Rice Crackers - Seaweed,,,,60,g,64,g,"Soup, snacks nuts","Snacks, savoury",Mini Rice Crackers seaweed flavour,,"Contains Soybean, wheat",Store in a cool dry place.,2237,535,,59.0g,13.5g,30.7g,15.2g,0.3g,0.9g,,3,Taiwan,"Taipec Ltd, Unit 1 Kangley Business Centre, Kangley Bridge Road, London SE25 5AQ",4710144900154
346981,Nice Choice,Puffed Rice Biscuit,,,,114,g,134,g,"Soup, snacks nuts","Snacks, Sweet","Snack with Rice Peanut, Sesame and maltose.","Rice (62%), Sugar (25.7%), Maltose (6.2%), Peanut (3.6%), Black Sesame (2.5%).","Consumers with food allergies, please read the ingredient statement carefully","Store in a cool dry place, avoid exposing product to direct sunlight.",2039,487,,63.3g,29.9g,19.9g,3.3g,,0g,,s,Taiwan,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4711202220320
339838,Shc,Soy Sauce Watermelon Seed,,,`,180,g,194,g,"Soup, snacks nuts","Snacks, savoury",Roasted Melon Seeds with Soy Sauce,"Watermelon Seed (88%), Coconut Oil (10%), Salt (1%), Soy Sauce (1% Water 30%), Soy Beans (GMO free) (30%), Wheat 25%, Salt (15%), Liquorice.",Contains Soybeans and wheat gluten,"Keep in a cool dry place, refrigerate after opening.",1674,400,,6.7g,0g,30g,6.7g,,0.5g,,,Taiwan,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4710174006352
374751,Son Hou LDA,Husband Cake,,,,300,g,343,g,"Soup, snacks nuts","Snacks, Sweet",,"Wheat Flour, Sugar, Melon Mash, Edible Vegetable Oil, Glucose Syrup, Sesame, Coconut mash, Five Spices Powder, Salt, Flavour Enhancer (Beef), Additive (Potassium Sorbate)",,Keep in a cool dry place,,220,,49g,,0.5g,0g,25g,5g,,3,China,"New World Imports (UK) Ltd, Unit 5 Union Street, Swinton, Manchester M27 4HL",9581996101427
